teamId,teamName,matches,avg_xG,total_xG,avg_xG_open_play,avg_xG_set_play,avg_xG_non_penalty,mean_ball_possession,fouls,accurate_passes,accurate_long_passes,accurate_crosses,ground_duels_won,aerial_won,dribbles_succeeded,goals,big_chances,big_chances_missed,corners,total_shots,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,passes,own_half_passes,opposition_half_passes,throws,touches_opp_box,offsides,tackles_won,interceptions,blocks,clearances,keeper_saves,duel_won,yellow_cards,red_cards
10155,Croatia,2,1.1749999999999998,2.3499999999999996,0.9550000000000001,0.215,1.1749999999999998,53.0,813,813,37,7,74,31,16,3,31,5,1.0,16,6,3,0,8,8,955,442,371,32,31,3,30,14,7,55,8,105,1,0
8520,Sweden,2,1.17,2.34,0.905,0.265,1.17,49.0,639,639,28,6,59,28,12,6,48,6,3.0,29,8,6,0,16,13,781,353,286,40,48,6,32,11,2,37,3,87,3,0
6395,Senegal,2,1.1099999999999999,2.2199999999999998,0.87,0.485,0.915,52.0,857,857,62,9,67,25,19,3,40,5,0.0,22,10,6,1,14,8,986,442,415,41,40,7,30,18,5,35,8,92,0,0
8255,Austria,2,1.1099999999999999,2.2199999999999998,0.64,0.07500000000000001,0.7150000000000001,54.5,888,888,29,6,58,32,11,3,46,5,3.0,17,11,1,0,10,7,1048,416,472,41,46,3,29,24,7,39,5,90,3,0
6317,Algeria,2,1.105,2.21,0.49,0.615,1.105,62.0,1124,1124,34,6,87,21,22,2,44,3,1.0,24,8,8,0,14,10,1250,510,614,42,44,1,42,19,0,27,6,108,1,0
6711,Iran,2,1.06,2.12,0.745,0.31,1.06,39.0,512,512,45,8,55,42,6,2,40,3,2.0,24,11,6,1,16,8,679,302,210,33,40,6,36,23,7,78,13,97,2,0
6710,Mexico,2,0.995,1.99,0.835,0.16,0.995,51.0,816,816,47,8,59,30,15,3,26,4,1.0,24,10,6,1,14,10,947,523,293,38,26,4,26,14,3,35,4,89,1,1
8496,Czechia,2,0.925,1.85,0.35,0.575,0.925,38.0,502,502,45,10,54,29,14,2,28,4,1.0,21,11,3,0,16,5,668,272,230,32,28,4,21,15,11,43,7,83,1,0
8498,Scotland,2,0.78,1.56,0.71,0.07,0.78,43.5,695,695,50,8,69,28,9,1,41,3,4.0,15,8,5,1,13,2,830,451,244,32,41,2,32,15,8,34,3,97,4,0
6716,Australia,2,0.7649999999999999,1.5299999999999998,0.44,0.325,0.7649999999999999,33.0,420,420,35,8,64,42,22,2,38,1,4.0,14,7,1,0,9,5,581,242,178,36,38,1,28,13,18,79,9,106,4,0
6714,Ghana,2,0.74,1.48,0.6499999999999999,0.09,0.74,29.5,419,419,54,4,74,29,13,1,24,2,2.0,10,4,3,0,9,1,523,233,186,30,24,6,38,16,8,67,7,103,2,0
6316,South Africa,2,0.725,1.45,0.29500000000000004,0.034999999999999996,0.32999999999999996,51.0,780,780,47,5,64,16,9,1,22,1,4.0,20,6,8,0,7,13,897,469,311,26,22,4,34,16,8,41,4,80,4,2
5819,Iraq,2,0.7150000000000001,1.4300000000000002,0.5549999999999999,0.16,0.7150000000000001,41.5,684,684,43,10,72,18,16,1,25,2,2.0,15,11,3,0,11,4,815,489,195,29,25,1,35,15,7,48,4,90,2,0
8700,Uzbekistan,2,0.705,1.41,0.675,0.030000000000000002,0.705,36.5,505,505,26,3,63,16,13,1,11,1,2.0,15,6,5,2,8,7,644,306,199,40,11,2,28,21,7,53,5,79,2,0
5934,Haiti,2,0.64,1.28,0.56,0.08499999999999999,0.64,48.5,699,699,57,8,70,23,9,0,39,1,4.0,22,12,5,0,12,10,830,322,377,28,39,7,28,15,3,42,3,93,4,0
5922,Panama,2,0.64,1.28,0.39,0.25,0.64,52.0,780,780,59,10,76,39,17,0,38,3,3.0,19,10,4,0,12,7,935,473,307,37,38,2,39,10,3,46,3,115,3,0
6321,DR Congo,2,0.62,1.24,0.26,0.355,0.62,30.5,421,421,25,5,60,17,8,1,20,1,2.0,15,7,5,0,5,10,548,237,184,35,20,2,32,12,8,46,8,77,2,0
10106,Bosnia and Herzegovina,2,0.605,1.21,0.06999999999999999,0.54,0.605,38.5,457,457,31,6,62,55,11,2,22,2,5.0,13,5,2,0,8,5,622,281,176,34,22,1,34,21,9,107,4,117,5,1
5816,Jordan,2,0.545,1.09,0.355,0.195,0.545,32.5,422,422,46,5,81,27,22,2,34,1,1.0,19,9,2,1,11,8,583,244,178,47,34,2,45,15,7,75,7,108,1,0
5888,Cape Verde,2,0.54,1.08,0.36,0.18,0.54,30.5,410,410,37,3,70,25,16,2,16,2,3.0,18,7,6,0,4,14,556,309,101,33,16,3,34,28,13,94,7,95,3,0
287981,Curacao,2,0.45499999999999996,0.9099999999999999,0.365,0.09,0.45499999999999996,30.0,441,441,32,3,78,24,21,1,22,0,5.0,18,10,3,0,8,10,570,259,182,24,22,3,33,24,11,57,19,102,5,0
6724,Paraguay,2,0.43000000000000005,0.8600000000000001,0.21,0.21999999999999997,0.43000000000000005,28.5,328,328,42,2,91,36,21,2,23,1,6.0,16,6,7,0,7,9,497,210,118,35,23,4,46,19,16,81,8,127,6,1
5902,Qatar,2,0.41,0.82,0.35,0.06,0.41,26.5,304,304,36,2,53,17,4,1,9,1,3.0,8,4,1,0,5,3,440,210,94,23,9,1,30,21,23,92,9,70,3,2
7795,Saudi Arabia,2,0.4,0.8,0.1,0.3,0.4,33.0,530,530,24,3,51,26,11,1,12,1,3.0,10,4,2,0,4,6,686,297,233,33,12,3,26,22,8,78,14,77,3,0
6719,Tunisia,2,0.165,0.33,0.025,0.14,0.165,44.5,576,576,40,5,70,19,9,1,18,0,1.0,8,4,2,0,3,5,725,320,256,46,18,7,39,20,7,36,2,89,1,0
