reactKey,timeStr,type,time,overloadTime,eventId,player,homeScore,awayScore,profileUrl,overloadTimeStr,isHome,ownGoal,goalDescription,goalDescriptionKey,suffix,suffixKey,isPenaltyShootoutEvent,nameStr,firstName,lastName,fullName,playerId,newScore,penShootoutScore,shotmapEvent,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,goal_scorer,matchRound,AwayTeamId
1420545019Goal979376undefinedfalse,19,Goal,19,,14205450,"{'id': 979376, 'name': 'Emam Ashour', 'profileUrl': '/players/979376/emam-ashour'}",0,0,/players/979376/emam-ashour,False,False,,,,,,False,Emam Ashour,Emam,Ashour,Emam Ashour,979376,"[0, 1]",,"{'id': 2944750067, 'eventType': 'Goal', 'teamId': 10255, 'playerId': 979376, 'playerName': 'Emam Ashour', 'x': 83.160679612, 'y': 36.8975, 'min': 19, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.51625, 'goalCrossedZ': 0.28252631440000003, 'expectedGoals': 0.07165411859750748, 'expectedGoalsOnTarget': 0.18422992527484894, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.33432539682539697, 'y': 0.07474241121693122, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': False, 'keeperId': 170323, 'firstName': 'Emam', 'lastName': 'Ashour', 'fullName': 'Emam Ashour', 'teamColor': '#DE313C'}",assist by Mohamed Salah,/players/292462/mohamed-salah,292462,assist_by,Mohamed Salah,Ashour,1,10255
1420550780Goal1031656undefinedfalse,80,Goal,80,,14205507,"{'id': 1031656, 'name': 'Maxi Araújo', 'profileUrl': '/players/1031656/maxi-araujo'}",1,0,/players/1031656/maxi-araujo,False,False,,,,,,False,Maxi Araújo,Maxi,Araújo,Maxi Araújo,1031656,"[1, 1]",,"{'id': 2944757155, 'eventType': 'Goal', 'teamId': 5796, 'playerId': 1031656, 'playerName': 'Maxi Araújo', 'x': 101.1120689658, 'y': 42.639687499999994, 'min': 80, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.66875, 'goalCrossedZ': 1.0145263108, 'expectedGoals': 0.17505407333374023, 'expectedGoalsOnTarget': 0.28431129455566406, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.29398148148148073, 'y': 0.2683932039153439, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 535669, 'firstName': 'Maxi', 'lastName': 'Araújo', 'fullName': 'Maxi Araújo', 'teamColor': '#6eadd6'}",,,Araújo,1,5796
142055927Goal1053736undefinedfalse,7,Goal,7,,14205592,"{'id': 1053736, 'name': 'Elijah Just', 'profileUrl': '/players/1053736/elijah-just'}",0,0,/players/1053736/elijah-just,False,False,,,,,,False,Elijah Just,Elijah,Just,Elijah Just,1053736,"[0, 1]",,"{'id': 2944761305, 'eventType': 'Goal', 'teamId': 5820, 'playerId': 1053736, 'playerName': 'Elijah Just', 'x': 96.2192982446, 'y': 32.17, 'min': 7, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.6275, 'goalCrossedZ': 1.9134736748, 'expectedGoals': 0.10952213406562805, 'expectedGoalsOnTarget': 0.46981751918792725, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.3630952380952386, 'y': 0.5062099668783069, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 505313, 'firstName': 'Elijah', 'lastName': 'Just', 'fullName': 'Elijah Just', 'teamColor': '#000000'}",assist by Chris Wood,/players/169719/chris-wood,169719,assist_by,Chris Wood,Just,1,5820
1420565654Goal1053736undefinedfalse,54,Goal,54,,14205656,"{'id': 1053736, 'name': 'Elijah Just', 'profileUrl': '/players/1053736/elijah-just'}",1,1,/players/1053736/elijah-just,False,False,,,,,,False,Elijah Just,Elijah,Just,Elijah Just,1053736,"[1, 2]",,"{'id': 2944766457, 'eventType': 'Goal', 'teamId': 5820, 'playerId': 1053736, 'playerName': 'Elijah Just', 'x': 94.8684210512, 'y': 24.84, 'min': 54, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 33.00875, 'goalCrossedZ': 1.2585263096000001, 'expectedGoals': 0.19760830700397491, 'expectedGoalsOnTarget': 0.1731061190366745, 'shotType': 'RightFoot', 'situation': 'FastBreak', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.26223544973545, 'y': 0.3329434681481482, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 505313, 'firstName': 'Elijah', 'lastName': 'Just', 'fullName': 'Elijah Just', 'teamColor': '#000000'}",assist by Chris Wood,/players/169719/chris-wood,169719,assist_by,Chris Wood,Just,1,5820
1420588390Goal1593857undefinedfalse,90 + 5,Goal,90,5,14205883,"{'id': 1593857, 'name': 'Ibrahim Mbaye', 'profileUrl': '/players/1593857/ibrahim-mbaye'}",2,0,/players/1593857/ibrahim-mbaye,+5,False,,,,,,False,Ibrahim Mbaye,Ibrahim,Mbaye,Ibrahim Mbaye,1593857,"[2, 1]",,"{'id': 2944793179, 'eventType': 'Goal', 'teamId': 6395, 'playerId': 1593857, 'playerName': 'Ibrahim Mbaye', 'x': 95.640350876, 'y': 20.2157961813, 'min': 90, 'minAdded': 5, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 31.78875, 'goalCrossedZ': 1.5859999922, 'expectedGoals': 0.06185716763138771, 'expectedGoalsOnTarget': 0.10142764449119568, 'shotType': 'RightFoot', 'situation': 'FastBreak', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.5849867724867723, 'y': 0.4195767175132275, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 466439, 'firstName': 'Ibrahim', 'lastName': 'Mbaye', 'fullName': 'Ibrahim Mbaye', 'teamColor': '#0c954e'}",assist by Iliman Ndiaye,/players/965764/iliman-ndiaye,965764,assist_by,Iliman Ndiaye,Mbaye,1,6395
1420589029Goal737066undefinedfalse,29,Goal,29,,14205890,"{'id': 737066, 'name': 'Erling Haaland', 'profileUrl': '/players/737066/erling-haaland'}",0,0,/players/737066/erling-haaland,False,False,,,,,,False,Erling Haaland,Erling,Haaland,Erling Haaland,737066,"[0, 1]",,"{'id': 2944796105, 'eventType': 'Goal', 'teamId': 8492, 'playerId': 737066, 'playerName': 'Erling Haaland', 'x': 102.72413793119999, 'y': 31.4075, 'min': 29, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.39875, 'goalCrossedZ': 1.3419999934, 'expectedGoals': 0.8745530843734741, 'expectedGoalsOnTarget': 0.9951707720756531, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.4236111111111112, 'y': 0.35502645328042326, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 578761, 'firstName': 'Erling', 'lastName': 'Haaland', 'fullName': 'Erling Haaland', 'teamColor': '#b53032'}",assist by David Møller Wolfe,/players/1049679/david-moller-wolfe,1049679.0,assist_by,David Møller Wolfe,Haaland,1,8492
1420589443Goal737066undefinedfalse,43,Goal,43,,14205894,"{'id': 737066, 'name': 'Erling Haaland', 'profileUrl': '/players/737066/erling-haaland'}",1,1,/players/737066/erling-haaland,False,False,,,,,,False,Erling Haaland,Erling,Haaland,Erling Haaland,737066,"[1, 2]",,"{'id': 2944796605, 'eventType': 'Goal', 'teamId': 8492, 'playerId': 737066, 'playerName': 'Erling Haaland', 'x': 101.3965517244, 'y': 35.220000000000006, 'min': 43, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 34.61, 'goalCrossedZ': 0.2439999988, 'expectedGoals': 0.3733566105365753, 'expectedGoalsOnTarget': 0.42296120524406433, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.8386243386243388, 'y': 0.06455026423280423, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 578761, 'firstName': 'Erling', 'lastName': 'Haaland', 'fullName': 'Erling Haaland', 'teamColor': '#b53032'}",,,,,,Haaland,1,8492
1420591276Goal740944undefinedfalse,76,Goal,76,,14205912,"{'id': 740944, 'name': 'Leo Østigard', 'profileUrl': '/players/740944/leo-ostigard'}",1,2,/players/740944/leo-ostigard,False,False,,Header,header,,,False,Leo Østigard,Leo,Østigard,Leo Østigard,740944,"[1, 3]",,"{'id': 2944799721, 'eventType': 'Goal', 'teamId': 8492, 'playerId': 740944, 'playerName': 'Leo Østigard', 'x': 101.58620689680001, 'y': 32.3225, 'min': 76, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 34.915000000000006, 'goalCrossedZ': 1.6694736760000002, 'expectedGoals': 0.23454649746418, 'expectedGoalsOnTarget': 0.799725353717804, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.7579365079365064, 'y': 0.44165970264550264, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 578761, 'firstName': 'Leo', 'lastName': 'Østigard', 'fullName': 'Leo Østigard', 'teamColor': '#b53032'}",assist by Martin Ødegaard,/players/534670/martin-odegaard,534670.0,assist_by,Martin Ødegaard,Østigard,1,8492
1420592290Goal674332undefinedfalse,90 + 6,Goal,90,6,14205922,"{'id': 674332, 'name': 'Ayman Hussein', 'profileUrl': '/players/674332/ayman-hussein'}",1,3,/players/674332/ayman-hussein,+6,False,True,Own goal,owngoal,OG,own_goal_short,False,Ayman Hussein,Ayman,Hussein,Ayman Hussein,674332,"[1, 4]",,"{'id': 2944801045, 'eventType': 'Goal', 'teamId': 5819, 'playerId': 674332, 'playerName': 'Ayman Hussein', 'x': 1.9913793102000001, 'y': 35.448750000000004, 'min': 90, 'minAdded': 6, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 31.78875, 'goalCrossedZ': 0.8539999958000001, 'expectedGoals': None, 'expectedGoalsOnTarget': None, 'shotType': 'OtherBodyParts', 'situation': 'SetPiece', 'period': 'SecondHalf', 'isOwnGoal': True, 'onGoalShot': {'x': 1.5849867724867723, 'y': 0.22592592481481483, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 578761, 'firstName': 'Ayman', 'lastName': 'Hussein', 'fullName': 'Ayman Hussein', 'teamColor': '#309060'}",,,,,,Hussein,1,8492
1420597950Goal1028896undefinedfalse,50,Goal,50,,14205979,"{'id': 1028896, 'name': 'Ali Iyad Olwan', 'profileUrl': '/players/1028896/ali-iyad-olwan'}",1,0,/players/1028896/ali-iyad-olwan,False,False,,,,,,False,Ali Iyad Olwan,Ali Iyad,Olwan,Ali Iyad Olwan,1028896,"[1, 1]",,"{'id': 2944810065, 'eventType': 'Goal', 'teamId': 5816, 'playerId': 1028896, 'playerName': 'Ali Iyad Olwan', 'x': 91.9, 'y': 43.720509549300004, 'min': 50, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 30.492499999999996, 'goalCrossedZ': 1.1814736784, 'expectedGoals': 0.08541332930326462, 'expectedGoalsOnTarget': 0.7843002676963806, 'shotType': 'RightFoot', 'situation': 'FastBreak', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.9279100529100548, 'y': 0.31255917417989415, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 450739, 'firstName': 'Ali Iyad', 'lastName': 'Olwan', 'fullName': 'Ali Iyad Olwan', 'teamColor': '#e2001d'}",assist by Noor Al-Rawabdeh,/players/1036253/noor-al-rawabdeh,1036253,assist_by,Noor Al-Rawabdeh,Olwan,1,5816
